Software Version:	2.0.6470.17062
Unit SN:	AIO-M72-0210
Spectrometer SN:	5335
Date:	1/8/2018 11:54:58 AM
Data Line Index:	25
Spectral Points:	1941
Integration time (ms):	10000
Averages:	20
Delay (ms):	0
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	753
Laser Diode Temp (C):	25
Laser Case Temp (C):	22.7
System Temp (C):	23.6
Spectrometer Temp (C):	20.7
CCD Temp (C):	-0.003
Secondary Temp (C):	20.006
Heatsink Temp (C):	18.895
CCDPCB Temp (C):	37.663
SecondaryPCB Temp (C):	25.024

Wavelength	RamanShift	Raw Counts	Dark Subtracted
870.1559	1240.5174	9449.4	7592.7
870.3004	1242.4256	9477.8	7602.15
870.4449	1244.333	9411.95	7585.7
870.5894	1246.2397	9384.3	7610.05
870.7339	1248.1457	9311.55	7567.9
870.8783	1250.0509	9346.05	7538.6
871.0228	1251.9554	9374.1	7542.7
871.1673	1253.8591	9353.7	7532.4
871.3117	1255.7621	9327.35	7529
871.4562	1257.6644	9383.95	7533
871.6006	1259.5659	9310.25	7548.85
871.745	1261.4667	9233.45	7522.1
871.8894	1263.3667	9266.35	7514.45
872.0338	1265.266	9222.9	7488.2
872.1782	1267.1646	9220.25	7471.55
872.3226	1269.0624	9217.95	7412.75
872.467	1270.9595	9249.65	7406.3
872.6114	1272.8558	9360.85	7379.7
872.7557	1274.7514	9272.4	7381.55
872.9001	1276.6463	9206.75	7383.65
873.0444	1278.5404	9192.75	7395.2
873.1888	1280.4338	9168.5	7372.05
873.3331	1282.3264	9122.45	7366.65
873.4774	1284.2183	9154.25	7340.1
873.6217	1286.1095	9101.55	7318.7
873.7661	1287.9999	9173	7342.9
873.9103	1289.8896	9096.85	7326.55
874.0546	1291.7785	9005.95	7283.65
874.1989	1293.6667	9103.9	7268.35
874.3432	1295.5542	9093.4	7278.05
874.4874	1297.4409	9099.05	7266.35
874.6317	1299.3269	9098.45	7258.15
874.7759	1301.2121	9140.55	7272.95
874.9202	1303.0966	9098.8	7264.8
875.0644	1304.9803	9046.95	7249.65
875.2086	1306.8633	9017.2	7244.95
875.3528	1308.7456	8991.3	7213.45
875.497	1310.6271	8960.6	7187.55
875.6412	1312.5079	8938.5	7176.7
875.7853	1314.3879	8983.85	7182.9
875.9295	1316.2672	8945.6	7148.95
876.0737	1318.1458	8923.2	7146.05
876.2178	1320.0236	8895.6	7139.85
